문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,"아래는 C언어의 2차원 배열 형태이다. field의 경우 2차원 배열 형태는 예시처럼 출력되므로, 이를 참고하여 mines의 2차원 배열 형태를 작성하시오.",1 1 3 2 / 3 4 5 3 / 3 5 6 4 / 3 5 5 3,,,
Q002,아래 예시를 보고 관계 대수에 대한 기호를 작성하시오.,U,-,X π ⋈,
Q003,"다음은 디자인 패턴에 대한 설명이다. 괄호안에 알맞는 답을 작성하시오. (기호식 보기가 있습니다. ex: Abstract Factory, Mediator 등) (   1   )은/",1. Bridge,2. Observer,,
Q004,아래 코드에 대한 출력 값을 작성하시오.,24513,,,
Q005,아래 코드에 대한 출력 값을 작성하시오. 첫번째 네트워크 주소가 192.168.1.0/24일때 FLSM 3개로 분할했을때 두번째 네트워크 브로드캐스드 IP를 10진수로 변환한 값을,192.168.1.127,,,
Q006,"아래 표를 확인하여 보기에 알맞는 값을 고르시오. (기호식 보기가 있습니다. ex: Boundary Value Partitioning​, Equivalence Partitionin",Boundary Value Analysis,,,
Q007,아래 데이터 명령어를 적용할 경우 알맞는 출력값을 작성하시오.​,(1). 3,(2). 4,,
Q008,아래 설명에 대한 알맞는 답을 작성하시오. (     1     ) 은/는 보안학적 측면에서 기술적인 방법이 아닌 사람들간의 기본적인 신뢰를 기반으로 사람을 속여 비밀 정보를 획득,1. 사회공학,2. 다크 데이터,,
Q009,다음 파이썬 코드에 대한 출력값을 작성하시오.,[101 102 103 104 105],,,
Q010,다음 보안 관련 설명으로 가장 알맞는 용어를  작성하시오. (          )  은/는 머신러닝 기술을 이용하여 IT 시스템에서 발생하는 대량의 로그를 통합관리 및 분석하여 사,SIEM,,,
Q011,"다음 보기 중, 형상 관리 항목을 3가지 고르시오.",CVS,SVN,GIT,
Q012,"STUDENT 테이블에서 컴퓨터과 학생 50명, 전기과 학생 100명, 인터넷과 학생 50명의 정보가 저장되어 있을 때, 다음 SQL문의 실행 결과에 따른 튜플의 수는? (단, D",1) 200,2) 3,3) 1,
Q013,다음 코드에 대한 출력 값을 작성하시오.,2,,,
Q014,아래 설명에 대하여 알맞는 답을 보기에서 고르시오. (기호식 보기가 있습니다. ex: CSRF 등) (   1   )은/는 프로세서(processor) 안에 독립적인 보안 구역을 ,1. Trustzone,2. typosquatting,,
Q015,아래 설명에 대하여 알맞는 용어를 작성하시오. (       )은/는 여러 개의 사이트에서 한번의 로그인으로 여러가지 다른 사이트들을 자동적으로 접속하여 이용하는 방법을 말한다. ,SSO,,,
Q016,다음은 스케줄링에 관한 내용이다. 괄호안에 알맞는 답을 작성하시오.,SJF,RR,SRT,
Q017,"다음은 UML에 관한 설명이다. 괄호안에 알맞는 답을 작성하시오. UML은 통합 모델링 언어로써, 시스템을 모델로 표현해주는 대표적인 모델링 언어이다. 구성 요소로는 사물, (  ",1. 관계,2. 클래스,3. 인터페이스,
Q018,다음은 E-R다이어그램에 관한 설명이다. 괄호 안에 알맞는 답을 작성하시오. (아래 그래프 기호는 정확히 기억이 나지 않아 임의로 작성한 것이니 참고만 해주세요.) (    1  ,1. 실선,2. 관계집합,3. 점선,4. 관계집합의 속성 5. 개체집합
Q019,다음 자바 코드에 대한 출력 값을 작성하시오.,0123,,,
Q020,다음 자바 코드에 대한 출력 값을 작성하시오.,993,,,
