q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 파일 구조와 관련된 설명이다. 설명을 읽고 괄호 안에 들어갈 가장 알맞은 용어를 작...,인덱스,색인(Index) 접근 방법,부족,images/2025_round2/Q001.png,
Q002,다음은 데이터베이스 릴레이션의 구성 요소 중 하나에 대한 설명이다. 설명을 읽고 보기에서 ...,ㄷ,Attribute,없음,,
Q003,다음은 정보보안 관련 문제이다. 아래 내용을 보고   알맞는 단어를 작성하시오. 원격 접속...,SSH,Secure Shell,부족,,
Q005,다음은 Java의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,BB,,없음,images/2025_round2/Q005.png,java
Q006,다음은 IP 주소와 서브넷 마스크에 관한 문제이다. 주어진 정보를 참고하여   괄호 안에 ...,① 128， ② 62,네트워크 주소와 호스트 수,부족,,
Q007,다음은 디자인 패턴에 관한 문제이다. 아래 내용을 보고   알맞는 단어를 작성하시오. 어떤...,Proxy,Proxy 패턴,없음,,
Q009,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,19,,없음,images/2025_round2/Q009.png,java
Q010,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,5P,,없음,images/2025_round2/Q010.png,java
Q011,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,1234561， 124567,분기 커버리지,없음,images/2025_round2/Q011.png,
Q012,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,2 그리고 3,,없음,images/2025_round2/Q012.png,c
Q013,라운드로빈(RR) 방식을 이용하고 아래 내용을 참고하여   평균대기시간을 구하시오. 운영체...,11.75,라운드로빈 평균 대기시간,부족,images/2025_round2/Q013.png,
Q014,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,5 그리고 6,,없음,images/2025_round2/Q014.png,c
Q015,다음은 Java언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,1a3b3,,없음,images/2025_round2/Q015.png,java
Q016,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,3 1 2,,없음,images/2025_round2/q016.png,c
Q017,다음은 Pyhon언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,2,,없음,images/2025_round2/q017.png,python
Q018,다음은 C언어의 문제이다. 아래 코드를 보고   알맞는 출력값을 작성하시오.,TSEB,,없음,images/2025_round2/q018.png,c
Q019,다음은 TCP 통신 과정에서 발생할 수 있는 보안 취약점에 대한 설명이다. 이를 이용한 공...,SYN Flooding,,없음,,
Q020,다음 테이블에서 πTTL(employee)에 대한 연산 결과 값을 작성하시오. [emplo...,TTL， 부장， 대리， 과장， 차장,프로젝션 연산,없음,images/2025_round2/Q020.png,
