q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 Java 코드이다. 올바른 출력 결과를 작성하시오.,BDCDD,,없음,images/2023_round3/1.png,java
Q002,다음 설명하는 용어를 보기에 맞게 골라 기호를 작성하시오.,ㅇ,OAuth,없음,images/2023_round3/2.png,
Q003,리눅스(Linux)에서 사용자에게 읽기/쓰기/실행 권한을 부여하고， 그룹에게는 읽기/실행을...,(1) chmod， (2) 751,,없음,,
Q004,다음은 C 언어 코드이다. 알맞는 출력 결과를 작성하시오.,34,,없음,images/2023_round3/4.png,c
Q005,C언어에서 구조체의 멤버에 접근하기 위해 괄호안의 기호를 작성하시오.,→,,없음,images/2023_round3/5.png,c
Q006,다음 빈칸에 들어갈 UNION 연산의 결과값을 작성하시오.,4， 3， 2， 1,,없음,images/2023_round3/6.png,
Q007,다음 설명은 서버 접근 통제의 유형이다. 괄호 안에 들어갈 용어를 작성하시오.   (영어 ...,(1) MAC， (2) RBAC， (3) DAC,,없음,,
Q008,다음 C언어 코드에 알맞는 출력값을 작성하시오.,5040,,없음,images/2023_round3/8.png,c
Q009,다음 설명에 대해 괄호 안에 알맞는 용어를 작성하시오.   (영어 약자로 작성하시오.  ),ATM,,없음,,
Q010,다음은 C언어의 포인터 문제이다. 알맞는 출력값을 작성하시오.,KOREA， OREA， K， E， O,,없음,images/2023_round3/10.png,c
Q011,다음은 Java 코드에 대한 알맞는 출력값을 작성하시오.,2,,없음,images/2023_round3/11.png,java
Q012,IP 패킷에서 외부의 공인 IP주소와 포트 주소에 해당하는 내부 IP주소를 재기록하여 라우...,NAT,,없음,,
Q013,다음 자바 코드를 실행할 경우 에러가 발생이 된다. 에러가 발생하는 라인명을 작성하시오.,7,,없음,images/2023_round3/13.png,java
Q014,다음은 파이썬에 대한 문제이다. 밑줄친 부분에 알맞는 답을 작성하시오. 입력값은 2와 3이...,split,,없음,images/2023_round3/14.png,python
Q015,다음은 판매와 관련된 다이어그램이다. 해당 다이어그램의 명칭을 쓰시오.,패키지,,없음,images/2023_round3/15.png,
Q016,다음 설명에 알맞는 답을 보기에서 골라 작성하시오.,ㄱ,Equivalence Partitioning,부족,images/2023_round3/16.png,
Q017,다음은 클라우드에 대한 유형 문제이다. 괄호안에 알맞는 답을 보기에 골라 작성하시오.,(1) IaaS， (2) PaaS， (3) SaaS,,없음,images/2023_round3/17.png,
Q018,다음은 프로토콜 종류에 관한 설명이다. 알맞는 답을 작성하시오.,RIP,,없음,,
Q019,다음은 관계 대수에 대한 내용이다. 보기에 알맞는 기호를 작성하시오.  1. join : ...,(1) ㄷ， (2) ㄴ， (3) ㄱ， (4) ㄹ,,없음,images/2023_round3/19.png,
Q020,다음은 데이터베이스에 관련된 문제이다. 괄호 안에 알맞는 답을 작성하시오.,참조,,없음,,
