q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,class Static{      public int a = 20;     static i...,1) 10 11 10 20， 2) Art A A Art Art， 3) qwe,(문제1-3 합쳐짐),부족,images/2023_round1/1.png,java
Q002,"#include <stdio.h>  int main(){     char a[] = ""Ar...",AJAX,(문제1-3 합쳐짐),부족,images/2023_round1/2.png,c
Q003,"#include <stdio.h>  int main(){      char* a = ""qw...",가상회선， 데이터그램,(문제1-3 합쳐짐),부족,images/2023_round1/3.png,c
Q004,다음 괄호안에 들어가는 용어의 Full Name 또는 약자를 작성하시오. (   )은/는 ...,L2TP,,없음,,
Q005,아래 내용을 확인하여   괄호 안에 용어를 표안에 알맞는 값을 고르시오. (보기가 있습니다...,SSH,,없음,images/2023_round1/5.png,
Q006,아래 내용을 확인하여   알맞는 답을 작성하시오.,1. 웜， 2. 트로이 목마， 3. 바이러스,,없음,,
Q007,아래 내용에서 괄호안에 알맞는 용어를 작성하시오. ​ (    )  네트워크 상의 다른 컴...,(a) %， (b) 10,(또는 (a) & (b) 1),부족,,
Q008,아래 설명에 대한 알맞는 답을 작성하시오. (보기가 있습니다. ex: 랜섬웨어， 스파이웨어...,ICMP,,없음,images/2023_round1/8.png,
Q009,다음 아래 코드에서 이진수를 십진수로 변환하는 코드에 대해 괄호 (a) (b)의 적합한 답...,proxy,(또는 (a) & (b) 1),부족,images/2023_round1/9.png,c
Q010,다음 보안 관련 설명으로 괄호안에 알맞는 용어를  작성하시오. (    )은/는 TCP/I...,1. 튜플， 2. 릴레이션 인스턴스， 3. 카디널리티,,없음,,
Q011,다음은 디자인 패턴에 관한 설명이다. 설명에 내용에 알맞는 답을 고르시오. (생성/구조/행...,delete from 학생 where 이름 = '민수',,없음,,
Q012,다음은 데이터베이스에 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습...,idx2， nx,,없음,images/2023_round1/12.png,
Q013,[학생] 테이블에서 학생 이름이 '민수'인 튜플을 삭제하는 쿼리를 작성하시오. 조건  - ...,{'한국' '중국' '베트남' '홍콩' '태국'},,없음,images/2023_round1/13.png,
Q014,다음 코드에서 괄호안에 알맞는 값을 변수명으로 작성하시오. (코드가 해깔려 시험문제와 동일...,SELECT 과목이름 MIN(점수) AS 최소점수 MAX(점수) AS 최대점수 FROM 성적 GROUP BY 과목이름 HAVING AVG(점수) >= 90,,없음,images/2023_round1/14.png,
Q015,다음 파이썬 코드의 알맞는 출력값을 작성하시오.,Vehicle name: Spark,,없음,images/2023_round1/15.png,
Q016,다음 성적 테이블에서 과목별 점수의 평균이 90점 이상인 '과목이름'， '최소점수'， '최...,1. 외부， 2. 개념， 3. 내부,,없음,images/2023_round1/16.png,
Q017,다음 JAVA 코드에서 알맞는 출력 값을 작성하시오.,1234561 124567,또는 1234567 124561,부족,images/2023_round1/17.png,
Q018,다음은 스키마와 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습니다....,500,,없음,images/2023_round1/18.png,
Q019,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,1234561 124567,또는 1234567 124561,부족,images/2023_round1/19.png,
Q020,다음 자바 코드에 대한 출력 값을 작성하시오.,500,,없음,images/2023_round1/20.png,
