q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,아래는 C언어의 2차원 배열 형태이다.  field의 경우 2차원 배열 형태는 예시처럼 출...,1 1 3 2 / 3 4 5 3 / 3 5 6 4 / 3 5 5 3,,없음,"images/2022_round3/1-1.png, images/2022_round3/1-2.png",
Q002,아래 예시를 보고   관계 대수에 대한 기호를 작성하시오.,U， -， X π ⋈,,없음,images/2022_round3/2.png,
Q003,다음은 디자인 패턴에 대한 설명이다. 괄호안에 알맞는 답을 작성하시오. (기호식 보기가 있...,1. Bridge， 2. Observer,,없음,,
Q004,아래 코드에 대한 출력 값을 작성하시오.,24513,,없음,images/2022_round3/4.png,
Q005,아래 코드에 대한 출력 값을 작성하시오. 첫번째 네트워크 주소가 192.168.1.0/24...,192.168.1.127,,없음,,
Q006,아래 표를 확인하여   보기에 알맞는 값을 고르시오. (기호식 보기가 있습니다. ex: B...,Boundary Value Analysis,,없음,"images/2022_round3/6-1.png, images/2022_round3/6-2.png",
Q007,아래 데이터 명령어를 적용할 경우 알맞는 출력값을 작성하시오.  ​,(1). 3， (2). 4,,없음,images/2022_round3/7.png,
Q008,아래 설명에 대한 알맞는 답을 작성하시오. (     1     ) 은/는 보안학적 측면에...,1. 사회공학， 2. 다크 데이터,,없음,,
Q009,다음 파이썬 코드에 대한 출력값을 작성하시오.,[101 102 103 104 105],,없음,images/2022_round3/9.png,
Q010,다음 보안 관련 설명으로 가장 알맞는 용어를  작성하시오. (          )  은/는...,SIEM,,없음,,
Q011,다음 보기 중， 형상 관리 항목을 3가지 고르시오.,CVS， SVN， GIT,,없음,images/2022_round3/11.png,
Q012,STUDENT 테이블에서 컴퓨터과 학생 50명， 전기과 학생 100명， 인터넷과 학생 50...,1) 200， 2) 3， 3) 1,,없음,,
Q013,다음 코드에 대한 출력 값을 작성하시오.,2,,없음,images/2022_round3/13.png,
Q014,아래 설명에 대하여 알맞는 답을 보기에서 고르시오. (기호식 보기가 있습니다. ex: CS...,1. Trustzone， 2. typosquatting,,없음,,
Q015,아래 설명에 대하여 알맞는 용어를 작성하시오. (       )은/는 여러 개의 사이트에서...,SSO,,없음,,
Q016,다음은 스케줄링에 관한 내용이다. 괄호안에 알맞는 답을 작성하시오.,SJF， RR， SRT,,없음,images/2022_round3/16.png,
Q017,다음은 UML에 관한 설명이다. 괄호안에 알맞는 답을 작성하시오. UML은 통합 모델링 언...,1. 관계， 2. 클래스， 3. 인터페이스,,없음,,
Q018,다음은 E-R다이어그램에 관한 설명이다. 괄호 안에 알맞는 답을 작성하시오. (아래 그래프...,1. 실선， 2. 관계집합， 3. 점선,4. 관계집합의 속성 5. 개체집합,부족,images/2022_round3/18.png,
Q019,다음 자바 코드에 대한 출력 값을 작성하시오.,0123,,없음,images/2022_round3/19.png,
Q020,다음 자바 코드에 대한 출력 값을 작성하시오.,993,,없음,images/2022_round3/20.png,
