q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음 Java 코드에서 알맞는 출력 값을 작성하시오.,4,,없음,images/2024_round1/Q001.png,java
Q002,다음 C언어 코드에서 알맞는 출력 값을 작성하시오.,151,,없음,images/2024_round1/Q002.png,c
Q003,다음은 응집도와 관련해서 보기에서 응집도가 높은 순으로 나열하시오.,ㄱ， ㄴ， ㄹ， ㄷ,,없음,,
Q004,다음은 C언어에 대한 문제이다. 알맞는 출력 값을 작성하시오.,GECA,,없음,images/2024_round1/Q004.png,c
Q005,아래 그림에서의 네트워크에서 라우터을 통한 할당 가능한 2번， 4번， 5번의 IP를 작성하...,192.168.35.72， 129.200.8.249， 192.168.36.249,,없음,images/2024_round1/Q005.png,
Q006,아래 표에서 나타나고 있는 정규형을 작성하시오.,제 3정규형,,없음,images/2024_round1/Q006.png,
Q007,아래의 내용에서 설명하는 네트워크 용어를 영문 약자로 작성하시오.,OSPF,Open Shortest Path First,부족,,
Q001,대표적인 링크 상태 라우팅 프로토콜이다. 이것은 인터넷에서 연결된 링크의 상태를 감시하여 ...,4,,없음,images/2024_round1/Q001.png,java
Q008,아래 내용의 각각의 설명에 대한 답을 작성하시오.  (1) 조인에 참여하는 두 릴레이션의 ...,(1) 세타 조인， (2) 동등 조인， (3) 자연 조인,,없음,,
Q009,다음은 운영체제 페이지 순서를 참고하여 할당된 프레임의 수가 3개일 때 LRU와 LFU 알...,(1) 6， (2) 6,LRU와 LFU 페이지 부재 횟수,부족,,
Q010,아래 JAVA언어 코드의 실행 순서를 중복 번호없이 작성하시오. 실행 순서 : 5 → ( ...,6， 3， 1， 7， 2,실행 순서,없음,images/2024_round1/Q010.png,java
Q011,다음 C언어의 알맞는 출력값을 작성하시오.,9981 and 2795.10,,없음,images/2024_round1/Q011.png,c
Q012,다음 파이썬 코드에 대한 알맞는 출력 값을 작성하시오.,Seynaau,,없음,images/2024_round1/Q012.png,python
Q013,아래 보기의 SQL 문장과 테이블을 참고하여   출력 값을 표로 작성하시오.,a， b,B 컬럼의 결과값,없음,images/2024_round1/Q013.png,unknown
Q014,아래는 애플리케이션 테스트 관리에 대한 내용이다. 설명하는 답을 보기에서 골라 작성하시오.,ㄹ,변경 조건/결정 커버리지,부족,,
Q001,모든 분기와 조건의 조합을 고려하나 모든 조합을 테스트하는 대신에 테스트가 필요한 중요한 ...,4,,없음,images/2024_round1/Q001.png,java
Q015,다음 아래 내용을 보고    보기에서 알맞는 용어를 골라 작성하시오. 인터넷 공격자의 존재...,ㅅ,Rootkit,없음,,
Q016,다음 Java 코드를 보고   알맞는 출력 값을 작성하시오.,9,,없음,images/2024_round1/Q016.png,java
Q017,다음 아래 내용을 보고    보기에서 알맞는 용어를 골라 작성하시오.,ㅅ,APT,없음,,
Q001,불특정 다수가 아닌 명확한 표적을 정하여 지속적인 정보수집 후 공격감행할 수 있다.  2....,4,,없음,images/2024_round1/Q001.png,java
Q018,아래의 SQL 코드와 테이블을 참고하여   결과 값을 작성하시오.,1,,없음,images/2024_round1/Q018.png,unknown
Q019,다음 C언어 코드의 알맞는 출력 값을 작성하시오.,Nd sc 1,,없음,images/2024_round1/Q019.png,c
Q020,다음 아래의 내용을 보고   알맞는 용어를 작성하시오. 구체적인 클래스에 의존하지 않고 서...,Abstract Factory,,없음,,
