문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음은 C언어 코드의 문제이다. 보기의 조건에 맞도록 괄호안에 알맞은 코드를 작성하시오. 입력값이 54321일 경우 출력값이 43215로 출력되어야 한다.,n[(i+1) % 5],,,
Q002,"다음은 JAVA 코드 문제이다. 가지고 있는 돈이 총 4620원일 경우 1000원, 500원, 100원, 10원의 지폐 및 동전을 이용하여 보기의 조건에 맞춰 최소한의 코드를 통해",a = m / 1000,b = (m % 1000) / 500,c = (m % 500) / 100,d = (m % 100) / 10
Q003,"다음은 c언어의 코드이다. 보기의 조건에 맞추어 알맞은 출력값을 작성하시오. 입력값은 홍길동, 김철수, 박영희 순서로 주어진다.",박영희,박영희,박영희,
Q004,"다음은 테이블에 데이터를 삽입하기 위한 과정이다. 보기의 조건식에 맞게 데이터 삽입을 위한 SQL문을 작성하시오. CREATE TABLE 학생 ( 학번 int, 이름 varchar",INSERT INTO 학생(학번 이름 학년 전공 전화번호) VALUES(9830287 '뉴진스' 3 '경영학개론' '010-1234-1234'),,,
Q005,다음은 C언어의 문제이다. 알맞은 출력값을 작성하시오.,BCD,,,
Q006,다음은 테스트 커버리지에 대한 내용이다. 내용을 보고 보기에 알맞는 기호를 고르시오. ㄱ. 구문 커버리지  ㄴ. 경로 커버리지  ㄷ. 조건/결정 커버리지   ㄹ. 변형 조건/결정 ,ㅇ,,,조건 커버리지
Q007,다음은 소스코드의 알맞은 출력을 작성하시오.,505,,,
Q008,다음 내용에 알맞는 답을 작성하시오.,템퍼프루핑,,,
Q009,다음은 C언어 문제이다. 알맞은 출력값을 작성하시오.,213465,,,
Q010,"데이터베이스 설계 순서에 관한 내용이다. 보기를 이용하여 괄호안에 알맞은 내용을 작성하시오. 구현, 요구조건 분석, 개념적 설계, 물리적 설계, 논리적 설계",요구조건 분석,개념적 설계,논리적 설계,물리적 설계 구현
Q011,다음은 디자인 패턴에 관한 문제이다. 보기에서 알맞는 답을 작성하시오.,1. Singleton,2. Visitor,,
Q012,"다음 내용에서 설명하는 문제에 대해 보기에 알맞는 답을 골라 작성하시오. ( 1 ) Code는 데이터 전송시 1 비트의 에러를 정정할 수 있는, 오류정정부호의 일종으로 미국의 Be",1. hamming,2. FEC,3. BEC,4. parity 5. CRC
Q013,"다음은 HDLC 프로토콜에 대한 설명이다. 보기 안에 알맞는 답을 골라 작성하시오. ( 1 ) 프레임은 Seq, Next, P/F의 필드를 가진다. 또한 맨 처음 비트를 0으로 가",1. ㄷ,2. ㄴ,3. ㅂ,4. ㅊ 5. ㅋ
Q014,다음은 자바에 대한 문제이다. 알맞은 출력값을 작성하시오.,true,false,true,true
Q015,다음 보기는 암호화 알고리즘에 대한 내용이다. 대칭키와 비대칭키에 해당하는 보기의 내용을 작성하시오 대칭키 : (              ) 비대칭키 : (             ,대칭키: DES AES ARIA SEED,비대칭키: RSA ECC,,
Q016,다음 괄호안에 알맞는 답을 작성하시오.,해시,,,또는 해싱 hash
Q017,다음 보기의 SQL문에서 괄호안에 알맞는 단어를 작성하시오. DROP VIEW 학생 (         ),cascade,,,
Q018,"다음 코드는 선택정렬 구현에 관한 문제이다.  오름차순으로 정렬할 경우 빈칸에 알맞는 연산자를 보기에서 골라 작성하시오. <, <=, =>, >, ==, /, %",>,,,
Q019,다음 파이썬 코드에서 알맞는 출력값을 작성하시오.,engneing,,,
Q020,다음 설명에 대한 알맞는 답을 작성하시오.,1. 스텁,2. 드라이버,,
