q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 네트워크 보완에 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (   )은/...,세션 하이재킹,Session Hijacking,부족,,
Q002,다음은 제약조건과 관련된 문제이다. 괄호안에 알맞는 용어를 보기에 골라 작성하시오. 개체，...,ㄱ. 도메인， ㄴ. 개체， ㄷ. 참조,제약조건,없음,images/2025_round1/Q002.png,
Q003,아래의 내용에서 설명 글의 괄호안의 용어를 영문 약자로 작성하시오. (        ) 은...,CRC,Cyclic Redundancy Check,부족,,
Q004,다음은 악성코드 관련된 문제이다. 아래 내용을 확인하여   보기에 골라 작성하시오. 사용자...,ㄹ,스캐어 웨어 (Scareware),부족,,
Q005,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,출력1출력5,,없음,images/2025_round1/Q005.png,java
Q006,아래 내용은 ARP/RARP에 대한 설명이다. 각 설명에 해당하는 것을 작성하시오.  (1...,(1) ARP， (2) RARP,,없음,,
Q007,다음은 SQL 문제이다. 아래 두 테이블을 참고하여   보기에 쿼리 실행 결과를 작성하시오...,이순신， 1000,SQL JOIN 결과,부족,images/2025_round1/Q007.png,
Q009,IP 주소가 192.168.35.10， 서브넷 255.255.252.0인 PC에서 브로드캐...,ㄱ，ㄴ，ㄷ，ㄹ，ㅁ,서브넷 브로드캐스팅,부족,,
Q010,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,4， BACDE,,없음,images/2025_round1/Q010.png,c
Q011,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,13,,없음,images/2025_round1/Q011.png,c
Q012,다음은 결합도와 관련된 내용이다. 보기에 알맞는 답을 골라 작성하시오.  (1) 다른 모듈...,(1) ㅁ， (2) ㄴ， (3) ㄹ,"내용 결합도, 스탬프 결합도, 공통 결합도",부족,,
Q013,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,54,,없음,images/2025_round1/Q013.png,java
Q014,아래는 디자인 패턴에 대한 설명이다. 알맞는 답을 보기에 골라 작성하시오. 서로 다른 인터...,Adapter,Adapter 패턴,부족,images/2025_round1/Q014.png,
Q015,문장(Statement) 커버리지 테스트를 수행하려고 한다. 코드를 아래의 제어 흐름도 빈...,(1) int a = 0， (2) a < m || b[a] < x， (3) b[a] < 0， (4) b[a] = -b[a];， (5) a++;， (6) return 1;， (7) ③ → ④ → ⑤ → ② → ⑥,문장 커버리지,없음,images/2025_round1/Q015_1.png,unknown
Q001,(  ①    )  2. (    ②    )  3. (    ③    )  4. (   ...,세션 하이재킹,Session Hijacking,부족,,
Q016,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,20,,없음,images/2025_round1/Q016.png,java
Q017,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,13,,없음,,python
Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오. 19...,35421,,없음,images/2025_round1/Q018.png,c
Q020,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,4,,없음,images/2025_round1/Q020.png,java
