q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,NNN,,없음,images/2024_round2/Q001.png,java
Q002,다음 문제에서 설명하는 용어를 작성하시오. 데이터를 중복시켜 성능을 향상시키기 위한 기법으...,반정규화,,없음,,
Q003,다음은 SQL에 관한 문제이다. 아래 SQL 구문의 빈칸을 작성하시오. 사원 [사원번호(P...,① VALUES， ② SELECT， ③ FROM， ④ SET,,없음,,
Q004,다음 릴레이션의 Cardinality와 Degree를 작성하시오. Cardinality :...,① 5， ② 4,Cardinality와 Degree,부족,images/2024_round2/Q004_1.png,
Q005,다음은 프로토콜에 대한 내용이다. 아래 내용을 읽고 알맞는 답을 작성하시오.  - Netw...,IPSec,,없음,,
Q006,다음은 Python에 대한 문제이다. 아래 코드를 읽고 알맞는 출력 값을 작성하시오.,ab3ca3,,없음,images/2024_round2/Q006.png,python
Q007,아래 설명하는 내용을 확인하여   알맞는 알고리즘을 작성하시오.  - 대칭키 알고리즘으로 ...,AES,,없음,,
Q008,패킷 교환 방식 중에 연결형과 비연결형에 해당하는 방식을 작성하시오.  ① 연결형 교환 방...,① 가상회선， ② 데이터그램,,없음,,
Q009,아래 내용을 확인하고 보기에서 알맞는 답을 고르시오. 실행 순서가 밀접한 관계를 갖는 기능...,ㅂ,순차적(sequential),부족,,
Q010,아래는 디자인 패턴에 관한 설명이다. 아래 설명을 읽고 보기에서 알맞는 용어를 작성하시오....,Iterator,,없음,images/2024_round2/Q010.png,
Q011,아래 그림을 바탕으로 RIP을 구성하여 최단 경로 비용을 계산하여 흐름에 맞게 작성하시오.,A → D → C → F,RIP 최단 경로,없음,images/2024_round2/Q011_1.png,
Q012,아래의 표를 확인하여   SRT 스케줄링의 평균 대기시간을 계산하여 작성하시오.,6.5,SRT 스케줄링 평균 대기시간,부족,images/2024_round2/Q012.png,
Q013,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,21,,없음,images/2024_round2/Q013.png,c
Q014,다음은 Java 언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오...,25， 20,,없음,images/2024_round2/Q014.png,java
Q015,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력값을 작성하시오.,10,,없음,images/2024_round2/Q015.png,c
Q016,아래는 소프트웨어 설계에 대한 내용이다. 내용을 읽고 괄호안에 알맞는 답을 작성하시오.  ...,제어,Control Coupling,부족,,
Q017,다음은 Java에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,dcba,,없음,images/2024_round2/Q017.png,java
Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,-13,,없음,images/2024_round2/Q018.png,c
Q019,다음은 C언어의 구조체에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하...,20,,없음,images/2024_round2/Q019.png,c
Q020,다음은 Java에 대한 문제이다. 아래 코드를 확인하여   알맞는 출력 값을 작성하시오.,S,,없음,images/2024_round2/Q020.png,java
