q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,다음은 C언어 코드의 문제이다. 보기의 조건에 맞도록 괄호안에 알맞은 코드를 작성하시오. ...,n[(i+1) % 5],,없음,images/2023_round2/1.png,
Q002,다음은 JAVA 코드 문제이다. 가지고 있는 돈이 총 4620원일 경우 1000원， 500...,a = m / 1000， b = (m % 1000) / 500， c = (m % 500) / 100,d = (m % 100) / 10,부족,images/2023_round2/2.png,
Q003,다음은 c언어의 코드이다. 보기의 조건에 맞추어 알맞은 출력값을 작성하시오. 입력값은 홍길...,박영희， 박영희， 박영희,,없음,images/2023_round2/3.png,
Q004,다음은 테이블에 데이터를 삽입하기 위한 과정이다. 보기의 조건식에 맞게 데이터 삽입을 위한...,INSERT INTO 학생(학번 이름 학년 전공 전화번호) VALUES(9830287 '뉴진스' 3 '경영학개론' '010-1234-1234'),,없음,images/2023_round2/4.png,
Q005,다음은 C언어의 문제이다. 알맞은 출력값을 작성하시오.,BCD,,없음,images/2023_round2/5.png,c
Q006,다음은 테스트 커버리지에 대한 내용이다. 내용을 보고   보기에 알맞는 기호를 고르시오. ...,ㅇ,조건 커버리지,없음,,
Q007,다음은 소스코드의 알맞은 출력을 작성하시오.,505,,없음,images/2023_round2/7.png,
Q008,다음 내용에 알맞는 답을 작성하시오.,템퍼프루핑,,없음,,
Q009,다음은 C언어 문제이다. 알맞은 출력값을 작성하시오.,213465,,없음,images/2023_round2/9.png,c
Q010,데이터베이스 설계 순서에 관한 내용이다. 보기를 이용하여 괄호안에 알맞은 내용을 작성하시오...,요구조건 분석， 개념적 설계， 논리적 설계,물리적 설계 구현,없음,images/2023_round2/10.png,
Q011,다음은 디자인 패턴에 관한 문제이다. 보기에서 알맞는 답을 작성하시오.,1. Singleton， 2. Visitor,,없음,images/2023_round2/11.png,
Q012,다음 내용에서 설명하는 문제에 대해 보기에 알맞는 답을 골라 작성하시오.  (1) Code...,1. hamming， 2. FEC， 3. BEC,4. parity 5. CRC,부족,images/2023_round2/12.png,
Q013,다음은 HDLC 프로토콜에 대한 설명이다. 보기 안에 알맞는 답을 골라 작성하시오.  (1...,1. ㄷ， 2. ㄴ， 3. ㅂ,4. ㅊ 5. ㅋ,없음,images/2023_round2/13.png,
Q014,다음은 자바에 대한 문제이다. 알맞은 출력값을 작성하시오.,true， false， true,true,없음,images/2023_round2/14.png,
Q015,다음 보기는 암호화 알고리즘에 대한 내용이다. 대칭키와 비대칭키에 해당하는 보기의 내용을 ...,대칭키: DES AES ARIA SEED， 비대칭키: RSA ECC,,없음,images/2023_round2/15.png,
Q016,다음 괄호안에 알맞는 답을 작성하시오.,해시,또는 해싱 hash,부족,,
Q017,다음 보기의 SQL문에서 괄호안에 알맞는 단어를 작성하시오. DROP VIEW 학생 (  ...,cascade,,없음,images/2023_round2/17.png,
Q018,다음 코드는 선택정렬 구현에 관한 문제이다. 오름차순으로 정렬할 경우 빈칸에 알맞는 연산자...,>,,없음,images/2023_round2/18.png,
Q019,다음 파이썬 코드에서 알맞는 출력값을 작성하시오.,engneing,,없음,images/2023_round2/19.png,
Q020,다음 설명에 대한 알맞는 답을 작성하시오.,1. 스텁， 2. 드라이버,,없음,,
