q_no,question_preview,answer,current_explanation,needs_work,image_refs,code_language
Q001,아래 설명에 맞는 RAID 단계를 숫자로 작성하시오.  - Striping(스트라이핑) 구...,RAID 0,,없음,,
Q002,다음 설명을 확인하여   해당하는 항목을 보기에서 찾아 적으시오. (실제 기출문제에서는 답...,1) redo， 2) undo,,없음,,
Q003,다음 자바 문법에 알맞는 출력 결과를 작성하시오.,2000,,없음,images/2022_round1/3.png,java
Q004,다음 SQL 결과에 알맞는 쿼리을 작성하시오. SELECT name， score FROM ...,1) ORDER， 2) score， 3) DESC,,없음,images/2022_round1/4.png,
Q006,다음은 파이썬 코드에서 출력되는 a와 b의 값을 작성하시오.,a= 20 b= 2,,없음,images/2022_round1/6.png,python
Q007,다음 설명과 관련된 답을 보기에서 골라 작성하시오.  (실제 기출문제에서는 답의 보기가 주...,1) extend， 2) pop， 3) reverse,,없음,,
Q008,다음 아래 단어를 영어 약자로 작성하시오. 임시 키 무결성 프로토콜,TKIP,,없음,,
Q009,다음 중， 설명에 대한 답을 영어 약자로 작성하시오. 키보드나 마우스와 같은 장치 없이 말...,NUI,,없음,,
Q010,다음은 분석도구에 대한 설명으로 보기에 알맞는 답을 작성하시오. (실제 기출문제에서는 답의...,1) static， 2) dynamic,,없음,,
Q011,다음 Java 코드 중에서 밑줄에 들어갈 알맞는 코드를 작성하시오.,Car,,없음,images/2022_round1/11.png,java
Q012,다음 설명에 대한 알맞는 단어를 작성하시오. 자바 프로그래밍 언어를 이용한 xUnit의 테...,JUnit,,없음,,
Q013,다음 보기 중에서 블랙박스 테스트 기법을 3가지 골라 작성하시오.,ㄷ， ㄹ， ㅂ,,없음,images/2022_round1/13.png,
Q014,다음 소스코드에서 입력값이 5가 들어왔을때 출력되는 값을 작성하시오.,120,,없음,images/2022_round1/14.png,c
Q015,다음 중， 괄호 ( ) 안에 들어갈 연산자를 써서 정수를 역순으로 출력하는 알맞는 답을 작...,1) >， 2) %， 3) /,,없음,images/2022_round1/15.png,c
Q016,다음 설명에 대한 답을 영어 약자로 작성하시오. 정보보호 관리체계의 영문 약자,ISMS (Information Security Management System),,없음,,
Q017,다음 설명 중， 괄호 ( ) 안에 들어가는 알맞는 답을 보기에서 선택하여 작성하시오. (실...,1) 유일성， 2) 최소성,,없음,,
Q002,후보키는  (1) 와/과 ( 2 ) 의 속성을 갖는다.,watering hole (워터링홀),,없음,,
Q018,다음 설명과 관련된 답을 보기에 찾아서 작서하시오. (실제 기출문제에서는 답의 보기가 주어...,29,,없음,,c
Q019,다음 소스코드가 실행할 때의 출력값을 작성하시오.,1) 단위 테스트， 2) 통합 테스트， 3) 시스템 테스트,4) 인수 테스트,없음,images/2022_round1/19.png,
Q020,다음은 V모델에서의 테스트 단계에 대한 설명으로 괄호안에 들어갈 답을 작성하시오.,1) 단위 테스트， 2) 통합 테스트， 3) 시스템 테스트,(답안 제공되지 않음),부족,images/2022_round1/20.png,
