문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음은 네트워크 보완에 관련된 문제이다. 괄호안에 알맞는 용어를 작성하시오. (   )은/는 '세션을 가로채다.' 라는 의미로 다른 사람의 세션 상태를 훔치거나 도용하여 액세스하는,,,,
Q002,"다음은 제약조건과 관련된 문제이다. 괄호안에 알맞는 용어를 보기에 골라 작성하시오. 개체, 참조, 도메인",,,,
Q003,아래의 내용에서 설명 글의 괄호안의 용어를 영문 약자로 작성하시오. (        ) 은/는 3글자의 영어 약자로 이루어진 오류 기법으로 데이터를 전송하거나 저장할 때 데이터의 ,,,,
Q004,"다음은 악성코드 관련된 문제이다. 아래 내용을 확인하여 보기에 골라 작성하시오. 사용자가 원치 않는 소프트웨어를 구매하도록 조작하기 위해 사회 공학을 사용하여 충격, 불안 또는 위",,,,
Q005,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q006,"아래 내용은 ARP/RARP에 대한 설명이다. 각 설명에 해당하는 것을 작성하시오. ( 1 ) 은/는 네트워크상에서 IP 주소를 MAC 주소로 변환하는 프로토콜이고, ( 2 ) 은",,,,
Q007,"다음은 SQL 문제이다. 아래 두 테이블을 참고하여 보기에 쿼리 실행 결과를 작성하시오. SELECT name, incentive FROM emp, sal WHERE emp.id ",,,,
Q008,아래는 데이터베이스에 관련된 설명이다. 알맞는 용어를 보기에서 골라 괄호를 작성하시오. 1. 릴레이션에서 속성의 개수를 의미 : ( 1 ) 2. 릴레이션에서 튜플의 개수를 의미 :,,,,
Q009,"IP 주소가 192.168.35.10, 서브넷 255.255.252.0인 PC에서 브로드캐스팅으로 다른 IP로 정보를 전달한다고 할 때 수신할 수 있는 알맞는 IP를 보기에서 골라",,,,
Q010,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q011,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q012,다음은 결합도와 관련된 내용이다. 보기에 알맞는 답을 골라 작성하시오. (1) 다른 모듈 내부에 있는 변수나 기능을 다른 모듈에서 사용하는 경우의 결합도 (2) 모듈 간의 인터페이,,,,
Q013,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q014,아래는 디자인 패턴에 대한 설명이다. 알맞는 답을 보기에 골라 작성하시오. 서로 다른 인터페이스를 가진 클래스들을 연결해 사용 가능하게 한다. 기존 클래스(Adaptee)를 원하는,,,,
Q015,문장(Statement) 커버리지 테스트를 수행하려고 한다. 코드를 아래의 제어 흐름도 빈칸에 연결되도록 작성하고 문장 커버리지 순서대로 작성하시오.,,,,
Q001,(    ①    )    2. (    ②    )    3. (    ③    )    4. (    ④    )    5. (    ⑤    )  6. (    ⑥    ) ,,,,
Q016,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q017,다음은 파이썬에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오. 19.다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q020,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
