문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,class Static{      public int a = 20;     static int b = 0;      }  public class Main{     public st,1) 10 11 10 20,2) Art A A Art Art,3) qwe,(문제1-3 합쳐짐)
Q002,"#include <stdio.h>  int main(){     char a[] = ""Art"";     char* p = NULL;     p = a;      printf(""%s",AJAX,,,(문제1-3 합쳐짐)
Q003,"#include <stdio.h>  int main(){      char* a = ""qwer"";     char* b = ""qwtety"";      for(int i = 0; a",가상회선,데이터그램,,(문제1-3 합쳐짐)
Q004,다음 괄호안에 들어가는 용어의 Full Name 또는 약자를 작성하시오. (   )은/는 비동기적인 웹 애플리케이션의 제작을 위해 JavaScript와 XML을 이용한 비동기적 정,L2TP,,,
Q005,아래 내용을 확인하여 괄호 안에 용어를 표안에 알맞는 값을 고르시오. (보기가 있습니다. ex: 패킷​ 등),SSH,,,
Q006,아래 내용을 확인하여 알맞는 답을 작성하시오.,1. 웜,2. 트로이 목마,3. 바이러스,
Q007,아래 내용에서 괄호안에 알맞는 용어를 작성하시오. ​ (    )  네트워크 상의 다른 컴퓨터에 로그인하거나 원격 시스템에서 명령을 실행하고 다른 시스템으로 파일을 복사할 수 있도,(a) %,(b) 10,,(또는 (a) & (b) 1)
Q008,"아래 설명에 대한 알맞는 답을 작성하시오. (보기가 있습니다. ex: 랜섬웨어, 스파이웨어 ​ 등)",ICMP,,,
Q009,다음 아래 코드에서 이진수를 십진수로 변환하는 코드에 대해 괄호 (a) (b)의 적합한 답을 작성하시오.,proxy,,,(또는 (a) & (b) 1)
Q010,다음 보안 관련 설명으로 괄호안에 알맞는 용어를  작성하시오. (    )은/는 TCP/IP에서 IP 패킷을 처리할 때 발생되는 문제를 알려주는 프로토콜이다. (    ) 프로토콜,1. 튜플,2. 릴레이션 인스턴스,3. 카디널리티,
Q011,"다음은 디자인 패턴에 관한 설명이다. 설명에 내용에 알맞는 답을 고르시오. (생성/구조/행위 별로 표형태의 보기가 있습니다. ex: Builder, Bridge ​ 등) - 다른 ",delete from 학생 where 이름 = '민수',,,
Q012,다음은 데이터베이스에 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습니다. ex: 릴레이션 스키마 ​ 등),idx2,nx,,
Q013,[학생] 테이블에서 학생 이름이 '민수'인 튜플을 삭제하는 쿼리를 작성하시오. 조건 - 컬럼의 값이 문자열일 경우 작은 따움표 ('  ')를 표시하시오. - SQL 마지막에 세미콜,{'한국' '중국' '베트남' '홍콩' '태국'},,,
Q014,다음 코드에서 괄호안에 알맞는 값을 변수명으로 작성하시오. (코드가 해깔려 시험문제와 동일하지 않지만 패턴이 비슷하다는 점만 참고해주세요.) 출력 값 : 1 2 3 5 7 8,SELECT 과목이름 MIN(점수) AS 최소점수 MAX(점수) AS 최대점수 FROM 성적 GROUP BY 과목이름 HAVING AVG(점수) >= 90,,,
Q015,다음 파이썬 코드의 알맞는 출력값을 작성하시오.,Vehicle name: Spark,,,
Q016,"다음 성적 테이블에서 과목별 점수의 평균이 90점 이상인 '과목이름', '최소점수', '최대점수' 를 검색하고자 한다. [조건]을 참고하여 적합한 SQL문을 작성하시오. 조건 : ",1. 외부,2. 개념,3. 내부,
Q017,다음 JAVA 코드에서 알맞는 출력 값을 작성하시오.,1234561 124567,,,또는 1234567 124561
Q018,다음은 스키마와 관련된 내용이다. 각 괄호안에 알맞는 답을 작성하시오. (보기가 있습니다.),500,,,
Q019,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,1234561 124567,,,또는 1234567 124561
Q020,다음 자바 코드에 대한 출력 값을 작성하시오.,500,,,
