문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음은 Java 코드에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q002,다음 문제에서 설명하는 용어를 작성하시오. 데이터를 중복시켜 성능을 향상시키기 위한 기법으로 데이터를 중복 저장하거나 테이블을 합치는 등으로 성능을 향상시키지만 데이터 무결성이 저,,,,
Q003,"다음은 SQL에 관한 문제이다. 아래 SQL 구문의 빈칸을 작성하시오. 사원 [사원번호(PK), 이름, 나이, 부서] 부서 [사원번호(PK), 이름, 주소, 나이] 신입 사원이 들",,,,
Q004,다음 릴레이션의 Cardinality와 Degree를 작성하시오. Cardinality : (  ①  ) Degree : (  ②  ),,,,
Q005,다음은 프로토콜에 대한 내용이다. 아래 내용을 읽고 알맞는 답을 작성하시오. - Network layer에서 IP패킷을 암호화하고 인증하는 등의 보안을 위한 표준이다. - 기업에서,,,,
Q006,다음은 Python에 대한 문제이다. 아래 코드를 읽고 알맞는 출력 값을 작성하시오.,,,,
Q007,"아래 설명하는 내용을 확인하여 알맞는 알고리즘을 작성하시오. - 대칭키 알고리즘으로 1997년 NIST(미국 국립기술표준원)에서 DES를 대체하기 위해 생성되었다. - 128비트,",,,,
Q008,패킷 교환 방식 중에 연결형과 비연결형에 해당하는 방식을 작성하시오. ① 연결형 교환 방식 ② 비연결형 교환 방식,,,,
Q009,아래 내용을 확인하고 보기에서 알맞는 답을 고르시오. 실행 순서가 밀접한 관계를 갖는 기능을 모아 모듈로 구성한다. 한 모듈 내부의 한 기능 요소에 의한 출력 자료가 다음 기능 원,,,,
Q010,아래는 디자인 패턴에 관한 설명이다. 아래 설명을 읽고 보기에서 알맞는 용어를 작성하시오. - 컬렉션 객체의 내부 구조를 노출하지 않고 순차적으로 접근할 수 있게 하는 패턴이다. ,,,,
Q011,아래 그림을 바탕으로 RIP을 구성하여 최단 경로 비용을 계산하여 흐름에 맞게 작성하시오.,,,,
Q012,아래의 표를 확인하여 SRT 스케줄링의 평균 대기시간을 계산하여 작성하시오.,,,,
Q013,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q014,다음은 Java 언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q015,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력값을 작성하시오.,,,,
Q016,"아래는 소프트웨어 설계에 대한 내용이다. 내용을 읽고 괄호안에 알맞는 답을 작성하시오. - 어떤 모듈이 다른 모듈 내부의 논리적인 흐름을 제어하기 위해, 제어를 통신하거나 제어 요",,,,
Q017,다음은 Java에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력 값을 작성하시오.,,,,
Q018,다음은 C언어에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력 값을 작성하시오.,,,,
Q019,다음은 C언어의 구조체에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력 값을 작성하시오.,,,,
Q020,다음은 Java에 대한 문제이다. 아래 코드를 확인하여 알맞는 출력 값을 작성하시오.,,,,
