문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,물리 네트워크(MAC) 주소에 해당하는 IP 주소를 알려주는 프로토콜로 역순 주소 결정 프로토콜을 무엇이라고 하는지 쓰시오.,RARP (Reverse Address Resolution Protocol),,,
Q002,다음은 DB 설계 절차에 관한 설명이다. 다음 빈칸에 들어갈 알맞은 용어를 쓰시오. - (   1.   )은/는 특정 DBMS의 특성 및 성능을 고려하여 데이터베이스 저장 구조로 ,1. 물리적 설계,2. 개념적 설계,3. 논리적 설계,DB설계 절차 : 요구사항 분석 > 개념적 설계 > 논리적 설계 > 물리적 설계 > 구현
Q003,"다음은 요구사항의 분류에 대한 설명이다. 괄호 (   ) 안에 들어갈 요구사항의 유형에 대해서 쓰시오. - (   1.   ) 요구사항은 시스템이 제공하는 기능, 서비스에 대한 요",1. 기능적,2. 비기능적,,"요구사항이란 시스템 개발 분야에서 어떤 과제를 수행하기 위해, 필요한 조건이나 능력을 말합니다. - 기능적 요구사항 : 사용자 요구사항, 시스템 요구사항 - 비 기능적 요구사항 : 제품 요구사항, 조직 요구사항, 외부 요구사항"
Q004,"웹 서비스명, 제공 위치, 메세지 포맷, 프로토콜 정보 등 웹 서비스에 대한 상세 정보가 기술된 XML 형식으로 구성된 언어를 무엇이라고 하는지 쓰시오.",WSDL,,,"WSDL(Web Services Description Language의 약자)은 웹 서비스 기술언어 또는 기술된 정의 파일의 총칭으로 XML로 기술됩니다. 웹 서비스의 구체적 내용이 기술되어 있으며 서비스 제공 장소, 서비스 메시지 포맷, 프로토콜 등이 기술됩니다."
Q005,다음은 파이썬 코드이다. 출력 결과를 쓰시오.,skiddp,,,각 단어들의 0번째(첫번째 글자) row 출력
Q006,다음 SQL 실행 결과를 숫자만 쓰시오. SELECT COUNT(*) FROM 급여 WHERE EMPNO > 100 AND SAL >= 3000 OR EMPNO = 200;,1,,,
Q007,다음 Java 프로그램 결과를 쓰시오.,3 1 45 50 89,,,
Q008,"정규화된 엔티티, 속성, 관계에 대해 성능 향상과 개발 운영의 단순화를 위해 중복, 통합, 분리 등을 수행하는 데이터 모델링의 기법을 무엇이라고 하는지 쓰시오.",비정규화 (반정규화/역정규화),,,"반정규화 방법 : 테이블 통합, 테이블 분할, 중복 테이블 추가, 중복 속성 추가"
Q009,다음은 블랙박스 기법에 대한 예제이다. 블랙박스 기법 두 가지를 쓰시오.,1. 경곗값 분석,2. 동등분할 테스트,,"블랙박스 테스트 종류: 동치 분할 검사(동등분할기법), 경계값 분석, 원인-효과 그래프 검사, 오류 예측 검사, 비교 검사"
Q001,0 <= x <= 10이면 -1 0 10 11 검사,RARP (Reverse Address Resolution Protocol),,,
Q002,입력 데이터의 영역을 유사한 도메인별로 유횻값 / 무횻값을 그룹핑하여 나누어서 검사,1. 물리적 설계,2. 개념적 설계,3. 논리적 설계,DB설계 절차 : 요구사항 분석 > 개념적 설계 > 논리적 설계 > 물리적 설계 > 구현
Q010,"다음은 테스트 종류에 대한 설명이다. 빈칸에 들어갈 알맞은 용어를 보기에서 찾아 기호로 쓰시오. - (   1.   ) 은/는 개별 모듈, 서브루틴이 정상적으로 실행되는지 확인 -",1. 단위 테스트,2. 통합 테스트,,시스템 테스트는 구현된 시스템이 정해진 요건에 적합한지 여부를 평가하기 위해 실제 운용과 같은 환경에서 시스템 전체에 대해서 행하는 테스트입니다.
Q011,"다음은 빈칸에 들어갈 알맞은 용어를 쓰시오. - IPv6는 (   1.   )  비트 길이를 가진다. - IPv4는 길이 32bit이며, (   2.  ) 비트씩 네 부분으로 나눈",1. 128,2. 8,,
Q012,"공유메모리, 소켓, 세마포어, 메세지 큐 등 프로세스 간 통신하는 기술을 무엇이라고 하는지 쓰시오.",IPC (Inter Process Communication),,,
