문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,"다음은 관계 데이터 모델에 대한 설명이다. 괄호안에 들어가는 용어를 작성하시오. ( )은 /는 관계 데이터의 연산을 표현하는 방법으로, 원하는 정보를 정의할 때는 계산 수식을 사용",관계해석,,,(문제19-1)
Q002,다음은 대칭 키 알고리즘에 대한 설명이다. 해당 설명에 맞는 용어를 보기에 골라 작성하시오.,Hypertext,,,(문제2는 소문제 1-2로 분리됨)
Q001,"Xuejia Lai와 James Messey 가 만든 알고리즘으로 PES(Proposed Encryption Standard)에서 IPES(Improved PES)로 변경되었다가,",IDEA,,,(문제2-1)
Q002,미국의 NSA에서 개발한 Clipper 칩에 내장되는 블록 알고리즘이다. 전화기와 같은 음성을 암호화 하는데 주로 사용되며 64비트 입출력에 80비트의 키 총 32라운드를 가진다.,SKIPJACK,,,(문제2-2)
Q003,"H회사의 전체 제품 단가 보다 큰 제품 출력을 하고자 한다. 괄호안에 들어갈 알맞는 용어를 작성하시오. SELECT 제조사, 제품명, 단가 FROM 제품 WHERE 단가 > ( )",ALL,,,(문제19-3)
Q004,"다음 SQL 결과에 알맞는 답을 작성하시오. SELECT count(col2) FROM TABLE WHERE col1 in(2,3) or col2 in(3,5);",4,,,(문제14-4)
Q005,"다음은 네트워크에 관련한 내용이다. 괄호안에 들어갈 알맞는 답을 작성하시오. ( )은/는 인터넷을 통해 디바이스 간에 사설 네트워크 연결을 생성하며, 퍼블릭 네트워크를 통해 데이터",VPN,,,
Q006,"다음은 SOLID 원칙에 관한 내용이다. 괄호안에 알맞는 단어를 보기에서 고르시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, SRP , LSP 등..)) ( ) 은",ISP,,,
Q007,다음 자바 코드에 알맞는 출력값을 작성하시오.,-8,,,
Q008,다음 소스코드에 대한 출력값을 작성하시오.,2,,,
Q009,IP 주소가 139.127.19.132이고 서브넷마스크 255.255.255.192일 때 아래의 답을 작성하시오. (10진수로 표기) (1) 괄호안에 들어갈 네트워크 주소 : 13,1) 128,2) 62,,
Q010,다음 설명에 대한 괄호안에 알맞는 단어를 작성하시오.,1) 베타,2) 알파,,(문제10은 소문제 1-2로 분리됨)
Q001,"( ) 테스트는 하드웨어나 소프트웨어의 개발 단계에서 상용화하기 전에 실시하는 제품 검사 작업. 제품의 결함 여부, 제품으로서의 가치 등을 평가하기 위해 실시한다. 선발된 잠재 고",베타,,,(문제10-1)
Q002,"( ) 테스트는 새로운 제품 개발 과정에서 이루어지는 첫 번째 테스트. 즉, 시제품이 운영되는 동안의 신제품 연구와 개발 과정 단계에서 초기 작동의 결과를 평가하는 수단이며 개발 ",알파,,,(문제10-2)
Q011,"다음 설명에 알맞는 테스트 용어를 보기에서 골라 작성하시오. (실제 기출문제에서는 답의 보기가 주어집니다.(오답 중, Iterating등..)) 오류를 제거하거나 수정한 시스템이나",Regression,,,
Q012,다음 테이블에서 πTTL(employee)에 대한 연산 결과 값을 작성하시오. [employee테이블],TTL,부장,대리,(해설: 과장 차장도 포함)
Q013,다음은 파이썬 코드이다. 알맞는 출력값을 작성하시오.,REMEMBER AND STR,,,
