문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음은 Java 코드이다. 올바른 출력 결과를 작성하시오.,BDCDD,,,
Q002,다음 설명하는 용어를 보기에 맞게 골라 기호를 작성하시오. 타사 애플리케이션이 데이터 또는 리소스에 액세스할 수 있도록 권한을 부여할 수 있는 개방형 표준 프로토콜,ㅇ,,,OAuth
Q003,리눅스(Linux)에서 사용자에게 읽기/쓰기/실행 권한을 부여하고 그룹에게는 읽기/실행을 부여하고 그 이외에는 실행 권한을 test.txt 파일에 부여하는 위한 명령어,(1) chmod,(2) 751,,
Q004,다음은 C 언어 코드이다. 알맞는 출력 결과를 작성하시오.,34,,,
Q005,C언어에서 구조체의 멤버에 접근하기 위해 괄호안의 기호를 작성하시오.,→,,,
Q006,다음 빈칸에 들어갈 UNION 연산의 결과값을 작성하시오.,4,3,2,1
Q007,다음 설명은 서버 접근 통제의 유형이다. 괄호 안에 들어갈 용어를 작성하시오.,(1) MAC,(2) RBAC,(3) DAC,
Q008,다음 C언어 코드에 알맞는 출력값을 작성하시오.,5040,,,
Q009,다음 설명에 대해 괄호 안에 알맞는 용어를 작성하시오. 셀이라 부르는 고정 길이 패킷을 이용하는 전송 방식,ATM,,,
Q010,다음은 C언어의 포인터 문제이다. 알맞는 출력값을 작성하시오.,KOREA,OREA,K,E O
Q011,다음은 Java 코드에 대한 알맞는 출력값을 작성하시오.,2,,,
Q012,IP 패킷에서 외부의 공인 IP주소와 포트 주소에 해당하는 내부 IP주소를 재기록하여 라우터를 통해 네트워크 트래픽을 주고받는 기술은 무엇인가?,NAT,,,
Q013,다음 자바 코드를 실행할 경우 에러가 발생이 된다. 에러가 발생하는 라인명을 작성하시오.,7,,,
Q014,다음은 파이썬에 대한 문제이다. 밑줄친 부분에 알맞는 답을 작성하시오.,split,,,
Q015,다음은 판매와 관련된 다이어그램이다. 해당 다이어그램의 명칭을 쓰시오.,패키지,,,
Q016,다음 설명에 알맞는 답을 보기에서 골라 작성하시오. 시스템 입출력값이 특정 그룹으로 분류되어 동일하게 취급된다는 특성을 이용하여 시험하는 기법,ㄱ,,,Equivalence Partitioning
Q017,다음은 클라우드에 대한 유형 문제이다. 괄호안에 알맞는 답을 보기에 골라 작성하시오.,(1) IaaS,(2) PaaS,(3) SaaS,
Q018,다음은 프로토콜 종류에 관한 설명이다. 알맞는 답을 작성하시오. 최소 Hop count를 파악하여 라우팅하는 프로토콜,RIP,,,
Q019,다음은 관계 대수에 대한 내용이다. 보기에 알맞는 기호를 작성하시오.,(1) ㄷ,(2) ㄴ,(3) ㄱ,(4) ㄹ
Q020,다음은 데이터베이스에 관련된 문제이다. 괄호 안에 알맞는 답을 작성하시오. 2개의 관련 있던 관계 변수 간의 일관성,참조,,,
Q021,추가 문제 (파싱 결과),,,,(필요시 확인)
Q022,추가 문제 (파싱 결과),,,,(필요시 확인)
Q023,추가 문제 (파싱 결과),,,,(필요시 확인)
