문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,다음 Java 코드에서 알맞는 출력 값을 작성하시오.,,,,
Q002,다음 C언어 코드에서 알맞는 출력 값을 작성하시오.,,,,
Q003,다음은 응집도와 관련해서 보기에서 응집도가 높은 순으로 나열하시오.,,,,
Q004,다음은 C언어에 대한 문제이다. 알맞는 출력 값을 작성하시오.,,,,
Q005,"아래 그림에서의 네트워크에서 라우터을 통한 할당 가능한 2번, 4번, 5번의 IP를 작성하시오. 1) 192.168.35.3/24 3) 129.200.10.16/22 6) 192.",,,,
Q006,아래 표에서 나타나고 있는 정규형을 작성하시오.,,,,
Q007,아래의 내용에서 설명하는 네트워크 용어를 영문 약자로 작성하시오.,,,,
Q001,대표적인 링크 상태 라우팅 프로토콜이다. 이것은 인터넷에서 연결된 링크의 상태를 감시하여 최적의 경로를 선택한다는것이다. 2. 단일 자율 시스템 내에서 라우팅 정보를 배포하는 데 ,,,,
Q008,아래 내용의 각각의 설명에 대한 답을 작성하시오. (1) 조인에 참여하는 두 릴레이션의 속성 값을 비교하여 조건을 만족하는 튜플만 반환한다. (2) 조건이 정확하게 '=' 등호로 ,,,,
Q009,"다음은 운영체제 페이지 순서를 참고하여 할당된 프레임의 수가 3개일 때 LRU와 LFU 알고리즘의 페이지 부재 횟수를 작성하시오. 페이지 참조 순서 : 1, 2, 3, 1, 2, ",,,,
Q010,아래 JAVA언어 코드의 실행 순서를 중복 번호없이 작성하시오. 실행 순서 : 5 → ( ) → ( ) → ( ) → ( ) → ( ),,,,
Q011,다음 C언어의 알맞는 출력값을 작성하시오.,,,,
Q012,다음 파이썬 코드에 대한 알맞는 출력 값을 작성하시오.,,,,
Q013,아래 보기의 SQL 문장과 테이블을 참고하여 출력 값을 표로 작성하시오.,,,,
Q014,아래는 애플리케이션 테스트 관리에 대한 내용이다. 설명하는 답을 보기에서 골라 작성하시오.,,,,
Q001,모든 분기와 조건의 조합을 고려하나 모든 조합을 테스트하는 대신에 테스트가 필요한 중요한 조합을 찾아내는데에 중점을 둔다. 2. 특정 조건을 수행할 때 다른 조건과는 상관없이 전체,,,,
Q015,다음 아래 내용을 보고  보기에서 알맞는 용어를 골라 작성하시오. 인터넷 공격자의 존재를 숨기면서 이 공격자에게 시스템에 대한 무제한 접근 권한을 부여하는 악성 프로그램이다. 해커,,,,
Q016,다음 Java 코드를 보고 알맞는 출력 값을 작성하시오.,,,,
Q017,다음 아래 내용을 보고  보기에서 알맞는 용어를 골라 작성하시오.,,,,
Q001,불특정 다수가 아닌 명확한 표적을 정하여 지속적인 정보수집 후 공격감행할 수 있다. 2. 시스템에 직접 침투하는 것뿐 아니라 표적 내부직원들이 이용하는 다양한 단말을 대상으로 한다,,,,
Q018,아래의 SQL 코드와 테이블을 참고하여 결과 값을 작성하시오.,,,,
Q019,다음 C언어 코드의 알맞는 출력 값을 작성하시오.,,,,
Q020,다음 아래의 내용을 보고 알맞는 용어를 작성하시오. 구체적인 클래스에 의존하지 않고 서로 연관되거나 의존적인 객체들의 조합을 만드는 인터페이스를 제공하는 패턴이다. 연관성이 있는 ,,,,
