문제번호,문제내용(처음 100자),답안1,답안2,답안3,해설
Q001,"다음은 파일 구조와 관련된 설명이다 . 설명을 읽고 괄호 안에 들어갈 가장 알맞은 용어를 작성하시오 . 데이터베이스의 물리 설계 시 , 레코드에 접근하는 방법은 순차 접근 방법 ,",,,,
Q002,다음은 데이터베이스 릴레이션의 구성 요소 중 하나에 대한 설명이다 . 설명을 읽고 보기에서 알맞은 기호를 골라 작성하시오 . 릴레이션 (Relation) 에서 열 (Column) ,,,,
Q003,다음은 정보보안 관련 문제이다. 아래 내용을 보고 알맞는 단어를 작성하시오. 원격 접속과 관련된 보안 프로토콜이며 암호화된 통신을 제공하는 보안 접속용 프로토콜이다 . 공개키 기반,,,,
Q004,스케줄링 알고리즘에 관한 다음 설명을 읽고 (1) 과 (2) 에 알맞은 스케줄링 알고리즘의 명칭을 각각 쓰시오 . (1) CPU burst 시간이 짧은 프로세스를 우선적으로 처리하,,,,
Q005,다음은 Java의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q006,다음은 IP 주소와 서브넷 마스크에 관한 문제이다 . 주어진 정보를 참고하여 괄호 안에 들어갈 알맞은 값을 쓰시오 . 호스트의 IP 주소가 223.13.234.132 이고 서브넷 ,,,,
Q007,다음은 디자인 패턴에 관한 문제이다. 아래 내용을 보고 알맞는 단어를 작성하시오. 어떤 객체에 대한 접근을 제어하거나 추가적인 기능을 부여하기 위해 해당 객체의 대리 객체를 사용하,,,,
Q008,다음은 웹 데이터 교환 방식에 관한 문제이다 . 아래 설명을 읽고 괄호 안에 들어갈 알맞은 용어를 작성하시오 . ( ) 은 / 는 웹 페이지 전체를 다시 불러오지 않고 JavaSc,,,,
Q009,다음은 Java언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q010,다음은 Java언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q011,다음 아래 제어 흐름 그래프가 분기 커버리지를 만족하기 위한 테스팅 순서를 쓰시오.,,,,
Q012,다음은 C언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q013,"라운드로빈(RR) 방식을 이용하고 아래 내용을 참고하여 평균대기시간을 구하시오. 운영체제에서 라운드로빈 (Round Robin, RR) 스케줄링은 각 프로세스에 동일한 시간 할당량",,,,
Q014,다음은 C언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q015,다음은 Java언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q016,다음은 C언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q017,다음은 Pyhon언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q018,다음은 C언어의 문제이다. 아래 코드를 보고 알맞는 출력값을 작성하시오.,,,,
Q019,다음은 TCP 통신 과정에서 발생할 수 있는 보안 취약점에 대한 설명이다 . 이를 이용한 공격 기법으로 옳은 것은 ? TCP 는 연결을 수립하기 위해 클라이언트가 서버에 SYN 패,,,,
Q020,다음 테이블에서 πTTL(employee)에 대한 연산 결과 값을 작성하시오. [employee테이블],,,,
